,0
0,2.0008e-06
1,4.0005999999999994e-06
2,6.0004e-06
3,8.0002e-06
4,1e-05
5,9.999351189744388e-06
6,9.997404927376292e-06
7,9.994161718048218e-06
8,9.989622403535334e-06
9,9.983788162016984e-06
10,9.976660507770884e-06
11,9.968241290780107e-06
12,9.9585326962529e-06
13,9.94753724405553e-06
14,9.935257788058245e-06
15,9.921697515394553e-06
16,9.906859945633999e-06
17,9.890748929868663e-06
18,9.87336864971361e-06
19,9.854723616221548e-06
20,9.83481866871199e-06
21,9.8136589735152e-06
22,9.791250022631277e-06
23,9.767597632304708e-06
24,9.742707941514754e-06
25,9.716587410382087e-06
26,9.689242818492057e-06
27,9.660681263135054e-06
28,9.630910157464404e-06
29,9.599937228572292e-06
30,9.567770515484184e-06
31,9.534418367072303e-06
32,9.499889439888677e-06
33,9.464192695918339e-06
34,9.427337400253224e-06
35,9.389333118687434e-06
36,9.350189715234426e-06
37,9.309917349566806e-06
38,9.26852647437939e-06
39,9.226027832676203e-06
40,9.18243245498213e-06
41,9.137751656479947e-06
42,9.091997034073468e-06
43,9.04518046337755e-06
44,8.997314095635806e-06
45,8.948410354566717e-06
46,8.89848193313908e-06
47,8.847541790277537e-06
48,8.795603147499081e-06
49,8.74267948548142e-06
50,8.688784540564062e-06
51,8.63393230118304e-06
52,8.578137004240235e-06
53,8.521413131408154e-06
54,8.463775405371244e-06
55,8.405238786004594e-06
56,8.345818466491112e-06
57,8.285529869378132e-06
58,8.224388642574485e-06
59,8.162410655289088e-06
60,8.099611993912092e-06
61,8.036008957839649e-06
62,7.971618055243412e-06
63,7.906455998785838e-06
64,7.840539701282415e-06
65,7.773886271311928e-06
66,7.706513008775944e-06
67,7.638437400408611e-06
68,7.569677115237979e-06
69,7.50025e-06
70,7.430174074506408e-06
71,7.359467526967679e-06
72,7.288148709272274e-06
73,7.216236132223407e-06
74,7.143748460734569e-06
75,7.070704508985046e-06
76,6.997123235536695e-06
77,6.923023738413253e-06
78,6.8484252501434385e-06
79,6.773347132769156e-06
80,6.697808872820068e-06
81,6.621830076255866e-06
82,6.54543046337755e-06
