,lr
0,1e-09
1,3.2000200000000006e-05
2,3.995776791852612e-05
3,3.9770429360103854e-05
4,3.9434696576433025e-05
5,3.895308959707046e-05
6,3.832922339166399e-05
7,3.756778073578271e-05
8,3.6674477061734566e-05
9,3.565601755820322e-05
10,3.452004684071666e-05
11,3.3275091570723994e-05
12,3.1930496453984904e-05
13,3.0496354098671474e-05
14,2.8983429259671618e-05
15,2.7403078037720615e-05
16,2.5767162639856765e-05
17,2.4087962341014045e-05
18,2.2378081315079227e-05
19,2.0650354027238762e-05
20,1.8917748897745943e-05
21,1.719327096021367e-05
22,1.5489864245085203e-05
23,1.3820314620998247e-05
24,1.2197153823320545e-05
25,1.063256539022455e-05
26,9.138293212350084e-06
27,7.725553382486724e-06
28,6.4049500069371e-06
29,5.186395610486005e-06
30,4.079036732419978e-06
31,3.0911852720781495e-06
32,2.2302560992583736e-06
33,1.502711397778686e-06
34,9.14012159954392e-07
35,4.685771960761219e-07
36,1.6974996656597654e-07
37,1.9773485771587746e-08
38,8.000600000000001e-06
39,1.9997653097535835e-05
40,1.994138250256502e-05
41,1.981049507258255e-05
42,1.9605973256155297e-05
43,1.9329352205783924e-05
44,1.8982708254960053e-05
45,1.856864333308781e-05
46,1.8090265435252287e-05
47,1.755116529342993e-05
48,1.6955389424248083e-05
49,1.630740975559878e-05
50,1.5612090060091145e-05
51,1.4874649447294847e-05
52,1.4100623188803903e-05
53,1.3295821170170184e-05
54,1.2466284281568775e-05
55,1.1618239074529375e-05
56,1.0758051025082882e-05
57,9.892176754132719e-06
58,9.027115563687502e-06
59,8.169360652726883e-06
60,7.3253503788770564e-06
61,6.501419931728667e-06
62,5.70375378053986e-06
63,4.938339253254832e-06
64,4.210921595276421e-06
65,3.5269608453241155e-06
66,2.8915908520698534e-06
67,2.3095807391750122e-06
68,1.7852991079743176e-06
69,1.3226812465032926e-06
70,9.251995910002667e-07
71,5.958376616005118e-07
72,3.3706766786277113e-07
73,1.508319522223064e-07
74,3.852841065702928e-08
75,1e-09
76,8.0002e-06
77,9.989442771502855e-06
78,9.942611644583074e-06
79,9.85868474381244e-06
80,9.738292029328422e-06
81,9.582337175760601e-06
82,9.391990789197013e-06
83,9.168681620547612e-06
84,8.91408584125788e-06
85,8.630114461869694e-06
86,8.318898987866427e-06
87,7.982775420470388e-06
88,7.624266722483464e-06
89,7.246063880783432e-06
90,6.8510057076219015e-06
91,6.442057532336503e-06
92,6.022288943418572e-06
93,5.5948507480056294e-06
94,5.162951321742053e-06
95,4.729832526527205e-06
96,4.298745376913835e-06
97,3.872925637806118e-06
98,3.455569536622452e-06
99,3.049809772228859e-06
100,2.6586920007214e-06
101,2.285151974556576e-06
102,1.931993506624784e-06
103,1.6018674246697185e-06
104,1.2972516740230896e-06
105,1.0204327180046342e-06
106,7.734883755971254e-07
107,5.582722252177424e-07
108,3.7639969165201833e-07
109,2.292359205826137e-07
110,1.1788553172742175e-07
111,4.31843275005175e-08
112,5.6930194312384275e-09
113,2.0006000000000004e-06
114,4.999413362397202e-06
115,4.985347823907322e-06
116,4.952630874935755e-06
117,4.901508090780555e-06
118,4.832363201995792e-06
119,4.74571521408797e-06
120,4.642214511830889e-06
121,4.5226379774401816e-06
122,4.387883159250774e-06
123,4.238961534667542e-06
124,4.076990917957812e-06
125,3.9031870698732755e-06
126,3.718854572079951e-06
127,3.52537703489328e-06
128,3.3242067118196282e-06
129,3.1168535988580586e-06
130,2.9048741003836365e-06
131,2.6898593466868006e-06
132,2.473423250858016e-06
133,2.2571903946634244e-06
134,2.0427838343408013e-06
135,1.8318129178462127e-06
136,1.6258612049958304e-06
137,1.4264745811749968e-06
138,1.2351496538337371e-06
139,1.053322518865285e-06
140,8.823579811878221e-07
141,7.235393104403819e-07
142,5.780586086872285e-07
143,4.470078624313023e-07
144,3.3137074610080305e-07
145,2.3201523853244326e-07
146,1.4968710787244155e-07
147,8.500431379798954e-08
148,3.8452369076419313e-08
149,1.0380695278488393e-08
150,1e-09
151,2.0002000000000003e-06
152,2.4973614847470382e-06
153,2.4856572157028807e-06
154,2.464681785657295e-06
155,2.4345926373929117e-06
156,2.3956156217847525e-06
157,2.3480433025505887e-06
158,2.2922327602508735e-06
159,2.2286029120215465e-06
160,2.157631367157952e-06
161,2.0798508421520356e-06
162,1.9958451620917592e-06
163,1.9062448784364615e-06
164,1.8117225360613861e-06
165,1.7129876250972231e-06
166,1.6107812554564379e-06
167,1.5058705940197032e-06
168,1.3990431062372308e-06
169,1.291100645367876e-06
170,1.182853433722521e-06
171,1.0751139810888765e-06
172,9.686909859863478e-07
173,8.643832655285036e-07
174,7.629737594559373e-07
175,6.652236533456124e-07
176,5.718666651081991e-07
177,4.836035376592995e-07
178,4.010967791028729e-07
179,3.2496568990736087e-07
180,2.5578171440079815e-07
181,1.940641514768693e-07
182,1.4027625670758457e-07
183,9.482176512035141e-08
184,5.804186073966913e-08
185,3.021261564024672e-08
186,1.1542917734152739e-08
187,2.1729028461510983e-09
188,5.006e-07
189,1.2498534286125434e-06
190,1.2463391542428977e-06
191,1.2381648255240564e-06
192,1.2253917994368701e-06
193,1.2081159510487585e-06
194,1.1864669538699489e-06
195,1.1606073065166596e-06
196,1.1307311129871549e-06
197,1.0970626257059845e-06
198,1.0598545622724064e-06
199,1.019386208547571e-06
200,9.759613223188079e-07
201,9.299058532762269e-07
202,8.815654964156243e-07
203,8.313030972319894e-07
204,7.794959281803789e-07
205,7.265328568472016e-07
206,6.728114270877802e-07
207,6.187348750393401e-07
208,5.647091024074047e-07
209,5.111396297442809e-07
210,4.584285525885016e-07
211,4.069715233126209e-07
212,3.5715478133378093e-07
213,3.093522539784632e-07
214,2.6392274976250066e-07
215,2.2120726515374867e-07
216,1.8152642503301397e-07
217,1.4517807606528275e-07
218,1.1243505104554839e-07
219,8.354312100018061e-08
220,5.871915041548742e-08
221,3.8149469440423986e-08
222,2.198847528179414e-08
223,1.0357473289947532e-08
224,3.3437664338531706e-09
225,1e-09
226,5.002e-07
227,6.243411630580839e-07
228,6.214186084828321e-07
229,6.161810461185082e-07
230,6.086677894090344e-07
231,5.989352332907905e-07
232,5.870564308889826e-07
233,5.731205451766887e-07
234,5.57232179712463e-07
235,5.395105934800168e-07
236,5.200888057234374e-07
237,4.991125974971019e-07
238,4.767394174247107e-07
239,4.5313719988087435e-07
240,4.284831044660534e-07
241,4.029621862364215e-07
242,3.7676600666998593e-07
243,3.5009119579513087e-07
244,3.231379762743316e-07
245,2.961086605213498e-07
246,2.6920613213263664e-07
247,2.42632323031405e-07
248,2.1658669775501652e-07
249,1.9126475626270706e-07
250,1.6685656650166552e-07
251,1.4354533774610496e-07
252,1.2150604541792834e-07
253,1.0090411771116155e-07
254,8.189419387842864e-08
255,6.461896349983915e-08
256,4.920809544680531e-08
257,3.577726458004513e-08
258,2.4427283487434687e-08
259,1.5243345778932988e-08
260,8.294386618452964e-09
261,3.6325652925615483e-09
262,1.2928736998792658e-09
263,1.2559999999999999e-07
264,3.124634451663789e-07
265,3.1158698682679153e-07
266,3.0954831317113177e-07
267,3.063627266009488e-07
268,3.020541383120002e-07
269,2.9665488881544364e-07
