epoch,total,score,position,dimension,angle
1,174290.0,156660.0,2858.6,13436.0,1329.0
2,96275.0,81827.0,2410.9,11197.0,840.64
3,59031.0,51238.0,2338.7,4684.5,769.33
4,54154.0,48970.0,2296.1,2146.7,741.48
5,52872.0,47936.0,2256.1,1956.1,724.06
6,51277.0,46436.0,2250.3,1872.1,718.47
7,51176.0,46413.0,2232.7,1820.0,709.54
8,49370.0,44675.0,2213.7,1780.3,701.21
9,48910.0,44248.0,2212.1,1750.6,698.99
10,48154.0,43513.0,2206.0,1738.4,695.91
11,47529.0,42919.0,2195.0,1724.5,690.65
12,47625.0,42997.0,2205.9,1728.2,693.85
13,47678.0,43028.0,2214.1,1738.5,697.65
14,48254.0,43600.0,2213.5,1743.0,698.09
15,49543.0,44961.0,2190.4,1704.8,686.57
16,49752.0,45198.0,2175.2,1696.4,682.05
17,48596.0,44089.0,2150.9,1687.5,669.05
18,47966.0,43490.0,2138.3,1677.8,660.12
19,47631.0,43164.0,2133.1,1679.0,654.72
20,46844.0,42406.0,2117.7,1672.7,646.85
21,46126.0,41728.0,2099.4,1659.7,638.59
22,45377.0,41048.0,2075.9,1626.0,627.28
23,45330.0,40973.0,2081.4,1646.9,628.58
24,45084.0,40735.0,2077.2,1644.0,627.77
25,45173.0,40815.0,2084.1,1644.4,628.74
26,45011.0,40671.0,2075.8,1640.1,624.49
27,46196.0,41829.0,2084.9,1654.0,628.14
28,45729.0,41435.0,2059.7,1620.4,614.3
29,45858.0,41551.0,2057.7,1632.2,616.96
30,45543.0,41258.0,2050.0,1624.2,611.1
31,45140.0,40851.0,2047.2,1629.3,611.89
32,44934.0,40660.0,2040.8,1623.4,609.72
33,44544.0,40290.0,2031.5,1617.3,605.43
34,44538.0,40276.0,2038.4,1615.6,608.59
35,44336.0,40082.0,2028.6,1620.9,604.78
36,44115.0,39875.0,2025.7,1611.3,602.89
37,44128.0,39884.0,2029.2,1610.8,604.19
38,44143.0,39900.0,2028.3,1611.9,603.11
39,44201.0,39961.0,2027.8,1609.9,602.56
40,44634.0,40389.0,2027.2,1615.1,602.69
41,44533.0,40282.0,2031.5,1616.9,603.01
42,44354.0,40122.0,2022.6,1608.7,600.83
