epoch,total,score,position,dimension,angle
1,163230.0,146370.0,2893.7,12871.0,1095.5
2,78508.0,66962.0,2442.7,8244.1,858.73
3,60810.0,54142.0,2329.9,3561.6,776.27
4,56368.0,50923.0,2301.8,2392.3,750.58
5,53500.0,48537.0,2265.0,1974.3,723.58
6,51506.0,46753.0,2226.6,1831.6,695.73
7,51418.0,46747.0,2207.2,1785.1,679.51
8,50407.0,45843.0,2164.4,1748.9,650.63
9,49159.0,44701.0,2125.2,1710.3,621.49
10,48106.0,43724.0,2093.6,1682.8,605.05
11,48143.0,43799.0,2076.3,1670.0,597.86
12,46495.0,42244.0,2031.1,1634.6,586.12
13,46713.0,42461.0,2023.3,1645.0,584.1
14,45507.0,41339.0,1981.7,1613.3,573.29
15,45307.0,41142.0,1974.9,1617.1,572.66
16,44997.0,40857.0,1955.0,1614.7,570.41
17,44444.0,40324.0,1942.2,1612.8,565.17
18,44254.0,40160.0,1928.0,1606.8,559.54
19,43850.0,39801.0,1904.9,1593.6,550.37
20,43305.0,39261.0,1900.7,1592.6,550.73
21,42751.0,38750.0,1877.1,1582.5,541.39
22,42495.0,38495.0,1867.2,1595.5,537.53
23,41674.0,37734.0,1843.0,1567.4,530.21
24,41374.0,37449.0,1828.5,1569.5,527.34
25,41030.0,37128.0,1811.1,1563.9,527.03
26,40608.0,36729.0,1795.6,1559.3,524.33
27,40252.0,36402.0,1772.4,1561.4,516.25
28,39831.0,35998.0,1762.7,1551.8,518.23
29,39588.0,35784.0,1748.0,1543.4,512.83
30,39112.0,35338.0,1728.6,1539.1,506.35
31,39025.0,35254.0,1722.6,1539.4,508.23
32,38636.0,34900.0,1704.1,1528.5,503.46
33,38171.0,34466.0,1684.4,1522.7,498.34
34,38128.0,34412.0,1683.2,1532.5,500.13
35,37839.0,34140.0,1676.3,1524.5,499.11
36,37348.0,33693.0,1650.6,1512.4,491.96
37,37366.0,33710.0,1650.7,1510.8,493.98
38,37031.0,33395.0,1637.6,1505.6,492.74
39,36769.0,33156.0,1625.7,1497.5,490.3
40,36563.0,32957.0,1620.8,1498.5,487.4
41,36468.0,32868.0,1616.0,1496.0,487.57
42,36238.0,32648.0,1607.6,1496.2,485.97
43,35892.0,32332.0,1595.6,1484.4,480.06
44,35812.0,32262.0,1587.4,1482.2,480.4
45,35735.0,32179.0,1586.8,1485.8,483.52
