epoch,total,score,position,dimension,angle
1,93602.0,78103.0,2706.9,11636.0,1156.1
2,70681.0,60862.0,2364.1,6583.9,870.8
3,58907.0,52859.0,2269.1,2998.1,780.25
4,56786.0,51486.0,2245.6,2298.4,755.99
5,53408.0,48466.0,2200.3,2019.0,722.86
6,51853.0,47068.0,2178.1,1902.3,704.8
7,50822.0,46120.0,2156.1,1855.3,689.92
8,50219.0,45604.0,2139.7,1801.7,673.21
9,49572.0,45035.0,2114.9,1769.9,651.94
10,48408.0,43967.0,2089.6,1724.7,625.88
11,47881.0,43497.0,2070.0,1705.3,608.67
12,46867.0,42525.0,2051.9,1691.1,598.62
13,46928.0,42644.0,2024.3,1673.2,586.37
14,46276.0,42041.0,1999.5,1658.5,576.75
15,45462.0,41271.0,1969.5,1651.9,570.17
16,44623.0,40492.0,1938.9,1633.9,558.33
17,44618.0,40479.0,1933.0,1647.3,558.02
18,44262.0,40157.0,1920.1,1634.8,550.29
19,42828.0,38810.0,1887.3,1594.1,536.34
20,42892.0,38876.0,1868.8,1612.1,535.13
21,42805.0,38802.0,1875.3,1595.6,532.49
22,42882.0,38871.0,1857.5,1624.0,529.84
23,41501.0,37566.0,1834.1,1578.5,522.28
24,41364.0,37451.0,1815.9,1578.4,518.47
25,41599.0,37687.0,1806.0,1588.9,517.3
26,40624.0,36767.0,1781.8,1566.2,508.36
27,40462.0,36597.0,1778.9,1573.9,511.95
28,39735.0,35940.0,1747.2,1541.7,505.75
29,39447.0,35690.0,1725.4,1536.9,494.75
30,38790.0,35062.0,1704.5,1530.4,493.64
31,39065.0,35332.0,1697.0,1546.2,489.89
32,38252.0,34571.0,1672.2,1522.4,486.64
33,37910.0,34250.0,1655.7,1518.5,486.17
34,37976.0,34310.0,1652.7,1522.1,491.33
35,37363.0,33771.0,1617.8,1490.9,482.46
36,37207.0,33638.0,1605.5,1487.7,475.25
37,36824.0,33256.0,1594.8,1497.3,475.25
38,36331.0,32805.0,1572.2,1482.0,471.55
39,36587.0,33055.0,1579.3,1479.7,472.47
40,36380.0,32865.0,1566.2,1481.7,466.53
41,35932.0,32457.0,1544.2,1466.5,464.57
42,35591.0,32128.0,1534.8,1466.1,462.34
43,35456.0,32024.0,1515.0,1455.9,461.08
44,35198.0,31768.0,1507.2,1466.6,456.14
45,34925.0,31524.0,1493.0,1457.0,451.84
46,34943.0,31530.0,1493.8,1461.5,457.94
47,34357.0,30991.0,1473.5,1439.6,452.47
48,34547.0,31207.0,1463.6,1429.9,446.37
49,33672.0,30383.0,1434.2,1406.1,447.8
50,33870.0,30568.0,1439.3,1422.3,439.73
51,33530.0,30280.0,1416.5,1400.4,432.91
52,33195.0,29931.0,1413.6,1412.3,438.17
53,33348.0,30110.0,1407.7,1395.0,435.32
54,33180.0,29969.0,1387.2,1394.0,430.36
55,32447.0,29248.0,1377.4,1386.0,436.0
56,32187.0,29024.0,1359.8,1374.7,428.64
57,32068.0,28921.0,1348.2,1373.2,425.02
58,31691.0,28551.0,1332.3,1384.4,423.06
59,31583.0,28474.0,1323.7,1362.0,423.75
60,31655.0,28532.0,1329.5,1370.2,423.17
61,31666.0,28574.0,1316.4,1355.8,420.04
62,31363.0,28281.0,1312.3,1350.0,419.54
63,30981.0,27938.0,1296.9,1326.0,419.54
64,30745.0,27719.0,1287.2,1320.4,417.79
65,30152.0,27170.0,1263.6,1306.1,412.23
66,30594.0,27583.0,1273.6,1328.9,407.73
67,30170.0,27199.0,1254.4,1306.7,409.19
68,29741.0,26800.0,1240.7,1294.0,407.07
69,29339.0,26435.0,1222.3,1278.8,402.29
70,29379.0,26484.0,1221.4,1273.4,400.35
71,29161.0,26277.0,1206.2,1275.9,402.14
72,29209.0,26307.0,1214.1,1283.5,404.73
73,29239.0,26364.0,1202.2,1274.6,398.29
74,28904.0,26041.0,1198.6,1266.9,396.66
75,28599.0,25750.0,1190.1,1260.3,398.82
76,28591.0,25751.0,1182.4,1259.8,397.69
77,28566.0,25738.0,1173.3,1256.6,398.61
78,27887.0,25117.0,1150.4,1232.2,387.85
79,28419.0,25601.0,1170.1,1252.5,394.97
80,28264.0,25469.0,1159.9,1246.5,388.61
81,27990.0,25222.0,1148.2,1226.4,393.32
82,27353.0,24615.0,1128.9,1222.1,386.54
83,27365.0,24635.0,1123.7,1219.5,387.53
84,27145.0,24434.0,1116.1,1208.5,385.92
85,26853.0,24160.0,1108.5,1201.6,382.88
86,26862.0,24169.0,1109.2,1201.7,381.83
87,26728.0,24046.0,1101.8,1198.5,381.55
88,26363.0,23712.0,1089.0,1183.1,378.43
89,26716.0,24063.0,1092.5,1182.8,377.68
90,26164.0,23539.0,1072.3,1175.6,376.98
91,26478.0,23841.0,1088.9,1173.0,374.57
92,25911.0,23285.0,1072.3,1177.3,376.78
93,25850.0,23239.0,1066.9,1169.1,374.72
94,25710.0,23106.0,1065.2,1165.6,372.72
95,25919.0,23319.0,1061.2,1164.9,373.69
96,25567.0,22986.0,1053.1,1154.7,372.44
97,25156.0,22606.0,1034.9,1146.2,368.15
98,25366.0,22795.0,1044.6,1152.9,373.26
99,25136.0,22600.0,1034.0,1137.4,365.16
100,25008.0,22464.0,1031.1,1145.9,366.99
101,24902.0,22363.0,1029.2,1143.2,366.27
102,24852.0,22327.0,1023.8,1132.8,368.03
103,24762.0,22233.0,1022.0,1136.1,370.86
104,24855.0,22338.0,1019.5,1131.8,365.33
105,24421.0,21926.0,1001.9,1129.2,363.47
106,24338.0,21861.0,1000.2,1114.0,363.19
107,24290.0,21808.0,1001.2,1116.9,363.12
108,24074.0,21618.0,990.38,1106.9,359.17
109,23819.0,21372.0,982.55,1107.6,357.02
110,23630.0,21195.0,976.57,1100.0,359.0
111,23725.0,21281.0,980.6,1103.3,359.84
112,23601.0,21180.0,974.01,1092.6,354.05
113,23545.0,21117.0,968.92,1098.6,360.31
114,23300.0,20893.0,961.68,1091.0,354.36
115,23223.0,20811.0,962.65,1090.6,359.03
116,23204.0,20787.0,962.08,1097.4,357.49
117,23203.0,20798.0,960.12,1088.2,357.22
118,23046.0,20648.0,955.08,1085.0,357.76
119,23109.0,20709.0,957.63,1086.6,355.37
120,22783.0,20404.0,944.0,1079.7,355.79
121,22599.0,20248.0,935.74,1065.9,349.76
122,22716.0,20335.0,942.88,1082.0,355.38
123,22674.0,20290.0,942.75,1085.0,355.79
124,22682.0,20311.0,938.54,1078.0,354.55
125,22329.0,19990.0,924.82,1065.0,348.52
126,22624.0,20254.0,938.33,1079.0,352.17
127,22454.0,20090.0,932.38,1078.2,353.86
128,22193.0,19851.0,923.43,1067.9,350.67
129,22100.0,19771.0,917.12,1062.4,349.92
130,22100.0,19769.0,918.75,1062.4,349.34
131,22204.0,19854.0,926.15,1072.2,351.88
132,21907.0,19585.0,908.32,1064.2,348.87
133,22013.0,19682.0,914.43,1068.4,348.45
134,22064.0,19737.0,916.31,1059.4,351.49
135,21962.0,19640.0,913.85,1061.4,346.84
136,21789.0,19483.0,908.85,1050.3,346.73
137,21882.0,19557.0,912.51,1062.8,349.41
