epoch,total,score,position,dimension,angle
1,19530.0,7347.0,2513.9,8794.1,875.3
2,13625.0,7704.0,2283.9,2854.9,781.82
3,9943.9,5196.3,2221.7,1798.1,727.83
4,9537.7,5049.9,2133.8,1694.2,659.69
5,9116.1,4829.3,2061.4,1626.2,599.27
6,8855.3,4659.3,2025.4,1592.7,577.83
7,8844.2,4682.2,1994.5,1600.3,567.11
8,8586.4,4534.4,1942.5,1557.9,551.56
9,8621.8,4637.0,1920.5,1531.2,533.0
10,8370.5,4435.1,1901.2,1510.9,523.32
11,8271.6,4372.0,1887.4,1501.5,510.7
12,8199.6,4329.9,1879.6,1490.9,499.16
13,7974.1,4213.1,1837.0,1449.4,474.53
14,8007.0,4263.5,1828.2,1449.3,466.1
15,7853.6,4167.9,1806.9,1426.4,452.4
16,7750.0,4135.6,1779.6,1394.5,440.26
17,7714.1,4135.3,1770.8,1372.4,435.66
18,7480.6,4012.2,1725.4,1333.8,409.21
19,7498.7,4067.0,1714.7,1318.5,398.5
20,7391.5,3974.1,1704.3,1316.7,396.41
21,7324.6,4003.3,1664.7,1280.5,376.05
22,7140.8,3899.6,1636.1,1239.0,366.16
23,6922.6,3741.6,1616.9,1207.0,357.08
24,6974.9,3792.9,1605.7,1228.5,347.84
25,6721.5,3640.1,1561.3,1181.5,338.63
26,6750.9,3692.1,1561.4,1164.6,332.86
27,6665.0,3664.2,1540.4,1139.4,321.02
28,6535.4,3617.3,1501.8,1100.9,315.48
29,6407.9,3513.4,1498.8,1088.0,307.69
30,6314.5,3484.4,1469.5,1064.4,296.34
31,6318.6,3508.5,1457.3,1062.5,290.3
32,6262.7,3489.5,1447.3,1040.2,285.77
33,6097.6,3384.1,1419.3,1009.7,284.51
34,6041.1,3358.7,1404.6,1003.3,274.45
35,6019.2,3381.8,1392.2,974.93,270.19
36,5894.7,3293.1,1374.8,962.86,264.01
37,5880.4,3316.6,1354.2,950.53,259.08
38,5758.6,3231.1,1331.7,942.58,253.2
39,5774.1,3257.4,1326.3,936.48,253.93
40,5709.7,3220.4,1323.6,914.91,250.74
41,5644.7,3178.1,1317.2,904.01,245.45
42,5544.7,3151.5,1277.1,877.79,238.38
43,5523.1,3150.4,1263.2,879.46,230.09
44,5419.9,3064.7,1261.9,858.24,235.0
45,5446.0,3132.3,1247.2,837.82,228.67
46,5418.2,3096.0,1246.6,844.41,231.18
47,5239.5,2988.7,1207.3,823.02,220.53
48,5252.3,3015.1,1202.6,816.8,217.78
49,5160.2,2951.8,1192.7,803.57,212.09
50,5195.8,2997.7,1188.6,799.18,210.37
51,5062.9,2900.7,1168.6,784.56,209.08
52,5058.9,2917.3,1159.5,776.51,205.6
53,5052.9,2911.3,1155.5,778.85,207.25
54,4957.3,2833.4,1136.8,778.5,208.56
55,4913.0,2836.9,1127.2,748.15,200.72
56,4912.1,2848.1,1122.0,744.33,197.63
57,4875.8,2843.6,1104.2,730.49,197.58
58,4824.4,2806.6,1096.9,724.97,195.89
59,4838.7,2797.3,1115.0,732.96,193.42
60,4738.4,2748.5,1092.0,709.71,188.18
61,4696.4,2745.3,1067.1,698.22,185.78
62,4643.9,2714.7,1055.0,689.21,184.94
63,4657.0,2717.9,1065.1,688.48,185.51
64,4643.4,2720.6,1057.3,683.71,181.69
65,4580.9,2675.4,1047.9,678.57,178.98
