epoch,total,score,position,dimension,angle
1,93682.0,79421.0,2495.9,10852.0,913.4
1,82305.0,68766.0,2543.9,10109.0,886.13
2,67127.0,59166.0,2348.7,4826.0,786.01
3,55731.0,50464.0,2276.4,2256.9,733.74
4,52471.0,47631.0,2221.7,1918.9,699.43
5,50961.0,46268.0,2179.3,1832.9,680.55
6,50493.0,45910.0,2139.0,1789.4,654.41
7,48905.0,44467.0,2082.4,1727.0,627.99
8,48051.0,43663.0,2053.2,1713.1,622.05
9,47309.0,42990.0,2012.4,1700.0,605.84
10,46215.0,41976.0,1974.7,1668.9,595.07
11,45502.0,41278.0,1970.7,1664.4,588.97
12,44911.0,40730.0,1948.0,1651.9,580.84
13,44373.0,40254.0,1914.4,1638.5,566.2
14,44121.0,40023.0,1898.2,1640.3,560.11
15,43129.0,39058.0,1878.5,1639.3,553.05
16,42927.0,38866.0,1869.2,1640.3,551.35
17,42025.0,38053.0,1830.7,1603.4,538.6
18,41371.0,37423.0,1812.7,1599.1,536.71
19,41058.0,37155.0,1785.0,1586.8,530.86
20,40762.0,36890.0,1757.0,1594.6,521.1
21,40266.0,36423.0,1749.8,1571.4,521.19
22,39903.0,36087.0,1727.4,1572.7,515.83
23,39079.0,35319.0,1693.0,1561.4,505.57
24,39360.0,35579.0,1692.9,1575.1,512.89
25,38544.0,34810.0,1663.5,1570.1,501.16
26,38183.0,34511.0,1639.1,1540.6,492.21
27,37759.0,34124.0,1621.2,1521.1,492.95
28,37526.0,33891.0,1617.1,1529.6,488.74
29,37557.0,33948.0,1594.6,1529.2,485.7
30,36789.0,33234.0,1566.9,1506.4,480.75
31,36556.0,33009.0,1557.8,1509.4,480.08
32,36317.0,32809.0,1538.0,1496.2,473.66
33,35794.0,32306.0,1523.1,1486.1,479.15
34,35706.0,32217.0,1514.5,1501.7,473.64
35,35177.0,31749.0,1490.2,1471.9,466.0
36,34859.0,31466.0,1472.6,1458.6,462.01
37,35102.0,31695.0,1475.8,1472.9,458.01
38,34576.0,31221.0,1449.0,1443.1,462.76
39,34293.0,30944.0,1435.4,1456.0,457.65
40,34352.0,31011.0,1433.7,1452.8,455.42
41,33821.0,30529.0,1413.6,1426.1,451.54
42,33424.0,30164.0,1390.7,1422.0,447.0
43,33204.0,29960.0,1383.3,1414.7,446.26
44,32894.0,29683.0,1365.9,1404.7,440.76
45,32784.0,29592.0,1353.3,1401.5,436.82
46,32563.0,29380.0,1342.0,1403.0,437.6
47,32457.0,29290.0,1336.6,1397.3,433.33
48,31884.0,28753.0,1320.7,1380.9,429.71
49,31858.0,28751.0,1305.5,1371.8,429.32
50,31475.0,28376.0,1293.9,1379.2,426.33
51,31218.0,28150.0,1278.3,1371.1,418.82
52,31241.0,28178.0,1273.8,1370.3,418.99
53,30861.0,27811.0,1264.8,1369.3,415.85
54,30896.0,27865.0,1260.0,1357.7,413.37
55,30480.0,27471.0,1247.5,1351.9,409.43
56,30332.0,27342.0,1239.5,1343.3,407.01
57,30128.0,27186.0,1222.3,1320.0,399.28
58,30014.0,27076.0,1219.7,1320.5,397.03
59,29709.0,26781.0,1207.6,1325.4,394.61
60,29447.0,26553.0,1192.3,1309.1,392.63
61,29416.0,26519.0,1193.6,1313.2,390.12
62,28940.0,26081.0,1172.8,1300.5,385.31
63,29018.0,26169.0,1167.9,1297.7,382.4
64,28638.0,25809.0,1164.6,1284.0,380.11
65,28535.0,25714.0,1156.0,1286.1,378.48
66,28620.0,25798.0,1157.2,1285.9,378.75
67,28597.0,25778.0,1150.3,1292.3,376.78
68,28161.0,25388.0,1136.7,1268.6,367.91
69,27910.0,25159.0,1123.8,1260.3,367.0
70,27759.0,25018.0,1117.0,1264.8,359.82
71,27436.0,24712.0,1109.4,1251.8,362.26
72,27339.0,24630.0,1098.1,1252.1,358.32
73,27134.0,24440.0,1092.4,1245.3,356.26
74,26866.0,24205.0,1087.0,1224.6,349.77
75,26878.0,24225.0,1079.7,1225.3,347.86
76,26905.0,24242.0,1081.4,1231.3,350.49
77,26560.0,23923.0,1068.7,1223.3,345.14
78,26387.0,23755.0,1067.1,1221.2,343.62
79,26310.0,23705.0,1054.5,1209.5,340.29
80,26079.0,23487.0,1048.1,1205.1,339.07
81,25897.0,23315.0,1039.5,1211.3,331.34
82,25911.0,23332.0,1039.7,1204.8,335.13
83,25632.0,23078.0,1029.8,1191.2,332.87
84,25575.0,23013.0,1026.9,1203.6,331.77
85,25389.0,22861.0,1018.3,1181.1,328.74
86,25163.0,22639.0,1015.5,1180.0,327.83
87,25066.0,22557.0,1008.2,1174.6,325.74
88,24998.0,22496.0,1004.5,1172.9,324.89
89,24866.0,22370.0,998.8,1174.4,322.89
90,24811.0,22308.0,999.2,1180.0,323.42
91,24644.0,22177.0,988.27,1159.8,318.97
92,24444.0,21984.0,982.09,1159.9,318.25
93,24292.0,21848.0,975.85,1149.6,318.75
94,24158.0,21718.0,970.59,1154.6,315.63
95,23973.0,21555.0,966.11,1139.5,312.43
96,23939.0,21521.0,963.93,1141.5,312.34
97,23661.0,21270.0,955.46,1125.5,309.76
98,23691.0,21298.0,951.81,1133.4,307.56
99,23470.0,21086.0,946.37,1125.8,311.81
100,23427.0,21047.0,943.49,1128.0,308.56
101,23239.0,20882.0,934.41,1118.7,304.0
102,23163.0,20805.0,936.99,1117.7,303.28
103,23013.0,20667.0,929.44,1112.5,304.48
104,23090.0,20751.0,930.56,1103.9,304.12
105,22806.0,20483.0,921.29,1101.9,300.67
106,22519.0,20221.0,907.14,1093.8,297.04
107,22589.0,20271.0,913.25,1101.9,303.01
108,22462.0,20162.0,905.97,1092.7,300.54
109,22353.0,20060.0,903.67,1092.4,297.59
110,22153.0,19871.0,896.9,1087.2,298.36
111,22237.0,19949.0,899.47,1089.2,299.91
112,22029.0,19758.0,887.42,1087.2,295.51
113,22020.0,19749.0,891.82,1082.9,295.8
114,22012.0,19741.0,890.99,1085.4,295.46
115,21877.0,19622.0,884.78,1076.3,293.86
116,21656.0,19412.0,876.54,1074.1,293.84
117,21708.0,19463.0,877.95,1072.2,294.98
118,21490.0,19265.0,869.02,1064.2,292.01
119,21397.0,19168.0,867.86,1069.1,292.21
120,21321.0,19096.0,864.72,1068.3,291.94
121,21334.0,19114.0,867.09,1063.3,289.69
122,21460.0,19219.0,875.71,1070.4,294.69
123,21301.0,19077.0,866.89,1063.4,293.16
124,21003.0,18803.0,854.28,1056.8,288.58
125,20992.0,18795.0,854.03,1053.8,288.72
126,21035.0,18821.0,856.85,1065.1,292.7
127,20781.0,18597.0,846.01,1050.0,287.64
128,20917.0,18717.0,850.35,1058.4,291.81
129,20688.0,18510.0,842.11,1049.3,286.63
130,20666.0,18481.0,843.97,1053.7,287.88
131,20614.0,18436.0,839.34,1051.2,287.41
132,20614.0,18432.0,839.0,1054.0,288.38
133,20427.0,18259.0,835.12,1048.4,284.43
134,20620.0,18444.0,839.94,1049.6,286.45
