epoch,total,score,position,dimension,angle
1,81203.0,66817.0,2499.6,11000.0,885.76
2,66501.0,57558.0,2275.2,5893.4,774.65
3,55819.0,50514.0,2209.1,2367.3,728.65
4,51167.0,46431.0,2119.8,1933.6,682.48
5,50029.0,45539.0,2059.1,1792.1,638.89
6,49593.0,45178.0,2048.3,1750.6,616.46
7,48460.0,44158.0,2001.4,1699.9,601.23
8,47273.0,43030.0,1979.8,1670.8,592.49
9,46364.0,42203.0,1945.6,1636.4,579.03
10,45774.0,41648.0,1928.2,1624.7,573.3
11,45606.0,41507.0,1915.5,1617.3,566.85
12,44233.0,40223.0,1882.5,1575.8,551.17
13,44636.0,40606.0,1886.5,1590.3,554.03
14,43759.0,39781.0,1860.1,1574.3,543.35
15,42792.0,38859.0,1841.7,1555.6,535.18
16,42310.0,38405.0,1821.4,1552.4,531.52
17,41863.0,37994.0,1793.1,1553.2,523.11
18,41692.0,37812.0,1788.5,1567.2,524.21
19,40945.0,37123.0,1765.3,1539.7,516.34
20,40339.0,36540.0,1741.7,1542.8,513.7
21,40068.0,36291.0,1727.0,1540.4,508.95
22,39564.0,35823.0,1702.9,1532.0,505.78
23,39204.0,35489.0,1685.8,1527.8,501.44
24,38678.0,34985.0,1672.9,1521.7,498.59
25,38014.0,34385.0,1638.5,1500.0,490.44
