epoch,score,position,dimension,angle,total
1,1328700.0,9224.0,48363.0,3143.8,1389500.0
2,266940.0,8822.9,45220.0,2817.4,323800.0
3,227290.0,8808.7,42493.0,2799.6,281400.0
4,208230.0,8848.1,38896.0,2810.5,258780.0
5,202300.0,8881.3,35500.0,2811.0,249490.0
6,196390.0,8837.3,30605.0,2795.9,238620.0
7,201920.0,8821.4,27624.0,2789.4,241150.0
8,198200.0,8826.4,24092.0,2791.8,233910.0
9,197740.0,8771.9,17378.0,2774.8,226670.0
10,191610.0,8725.3,14754.0,2763.9,217850.0
11,185580.0,8759.8,12716.0,2772.3,209830.0
12,185970.0,8743.3,12006.0,2777.3,209500.0
13,184270.0,8738.1,11771.0,2772.8,207560.0
14,181860.0,8757.8,11138.0,2777.6,204530.0
15,179960.0,8695.6,11209.0,2756.9,202620.0
16,176870.0,8719.2,10757.0,2767.5,199110.0
17,175530.0,8663.4,10615.0,2752.5,197560.0
18,172790.0,8686.6,10087.0,2754.6,194320.0
19,174090.0,8614.5,10195.0,2740.5,195640.0
20,174810.0,8649.3,10207.0,2749.1,196410.0
21,170930.0,8621.8,9876.7,2740.3,192170.0
22,170430.0,8602.8,9480.9,2739.0,191260.0
23,169580.0,8572.6,9399.5,2730.0,190290.0
24,171060.0,8502.6,9465.8,2716.0,191740.0
25,170790.0,8541.5,9433.2,2723.5,191490.0
26,170140.0,8469.5,9312.1,2701.5,190630.0
27,168300.0,8478.2,9143.3,2706.0,188620.0
28,166750.0,8431.7,9055.6,2690.9,186920.0
29,163840.0,8478.2,8660.0,2708.1,183690.0
30,171080.0,8372.4,9378.0,2670.5,191500.0
31,165220.0,8309.4,8961.1,2651.6,185150.0
32,163360.0,8361.1,8605.9,2668.8,183000.0
33,162920.0,8314.2,8469.5,2650.9,182360.0
34,162660.0,8283.0,8433.1,2645.1,182020.0
35,161740.0,8286.6,8284.1,2634.6,180940.0
36,161450.0,8212.6,8205.2,2613.7,180480.0
37,162780.0,8245.7,8373.4,2618.9,182020.0
38,159010.0,8120.8,8270.2,2583.5,177980.0
39,157400.0,8097.3,8004.7,2572.1,176070.0
40,158700.0,8085.8,7989.1,2563.2,177330.0
41,161180.0,8086.3,8251.1,2559.0,180080.0
42,156680.0,8031.5,7980.1,2531.9,175220.0
43,156860.0,7971.1,7880.7,2508.1,175220.0
44,158340.0,7951.9,8039.4,2497.1,176830.0
45,155660.0,7896.4,7856.0,2455.7,173870.0
46,156140.0,7962.7,7871.5,2471.5,174450.0
47,154300.0,7816.6,7753.8,2417.1,172290.0
48,156210.0,7862.1,7885.9,2414.1,174370.0
49,156090.0,7849.2,7851.1,2398.4,174180.0
50,153570.0,7842.1,7702.6,2386.8,171500.0
51,151970.0,7769.1,7653.2,2356.5,169750.0
52,152020.0,7805.8,7561.0,2353.6,169740.0
53,152070.0,7750.3,7525.6,2330.7,169670.0
54,151710.0,7738.0,7553.8,2323.4,169320.0
55,150160.0,7728.8,7426.7,2306.8,167630.0
56,153090.0,7710.3,7528.3,2307.2,170640.0
57,149160.0,7675.7,7404.4,2291.2,166530.0
58,150310.0,7673.9,7396.5,2291.4,167670.0
59,150220.0,7656.8,7514.3,2284.0,167670.0
60,149160.0,7673.1,7407.4,2274.2,166520.0
61,148900.0,7616.7,7387.7,2259.1,166160.0
62,147460.0,7586.4,7298.3,2248.2,164590.0
63,147730.0,7607.7,7323.4,2246.6,164910.0
64,147520.0,7596.0,7386.9,2254.9,164760.0
65,148040.0,7605.6,7373.2,2246.1,165260.0
66,146920.0,7564.7,7252.1,2237.1,163970.0
67,144810.0,7565.8,7212.2,2237.8,161830.0
68,147060.0,7530.5,7286.4,2219.7,164100.0
69,145330.0,7536.4,7155.4,2225.1,162240.0
70,144050.0,7487.5,7183.0,2210.5,160930.0
71,144930.0,7480.0,7255.6,2217.3,161890.0
72,143510.0,7502.4,7129.3,2215.9,160350.0
73,143770.0,7516.8,7204.6,2223.6,160710.0
74,141910.0,7456.1,7063.2,2204.4,158630.0
75,141220.0,7396.2,6998.3,2178.7,157800.0
76,141960.0,7394.4,7037.1,2177.7,158570.0
77,141930.0,7449.5,7030.3,2197.5,158600.0
78,141040.0,7417.0,7057.9,2189.4,157700.0
79,140200.0,7401.3,6961.4,2190.4,156750.0
80,142270.0,7420.4,7027.3,2193.3,158910.0
81,140580.0,7420.4,7022.9,2198.8,157230.0
82,139890.0,7428.1,6976.9,2194.7,156480.0
83,139240.0,7348.8,6889.2,2172.9,155650.0
84,138100.0,7393.1,6952.6,2196.5,154640.0
85,138590.0,7343.2,6911.8,2182.3,155030.0
86,139770.0,7343.5,6996.7,2172.2,156280.0
87,137780.0,7297.5,6832.4,2154.7,154060.0
88,137520.0,7336.0,6896.7,2176.3,153930.0
89,137420.0,7300.3,6852.6,2153.6,153720.0
90,137440.0,7352.7,6840.7,2177.9,153820.0
91,134840.0,7249.1,6730.3,2140.9,150960.0
92,138090.0,7270.5,6846.0,2147.0,154350.0
93,135780.0,7233.5,6788.6,2151.8,151960.0
94,134800.0,7222.9,6731.4,2144.5,150900.0
95,134120.0,7225.6,6709.4,2135.1,150190.0
96,135020.0,7222.1,6786.1,2140.1,151170.0
97,134680.0,7214.0,6735.0,2140.2,150770.0
98,134920.0,7179.3,6736.0,2133.3,150970.0
99,134330.0,7202.3,6773.1,2149.3,150450.0
100,133370.0,7157.4,6679.7,2124.8,149330.0
101,132560.0,7091.2,6640.6,2117.5,148400.0
102,133180.0,7145.4,6668.2,2119.9,149120.0
103,133500.0,7139.9,6731.3,2121.9,149500.0
104,132320.0,7104.8,6617.2,2111.5,148150.0
105,132340.0,7134.2,6723.3,2118.9,148310.0
106,132130.0,7088.0,6613.8,2109.4,147940.0
107,132560.0,7127.6,6650.9,2116.9,148450.0
108,131040.0,7074.2,6599.3,2107.7,146820.0
109,132050.0,7079.4,6645.2,2108.6,147880.0
110,130790.0,7049.8,6594.3,2105.0,146540.0
111,130850.0,7063.6,6602.0,2105.0,146620.0
112,129770.0,7013.3,6602.5,2107.2,145490.0
113,129720.0,6985.6,6564.0,2085.5,145350.0
114,130870.0,7023.5,6609.8,2105.3,146610.0
115,129190.0,7016.2,6575.9,2110.3,144890.0
116,129150.0,6950.8,6489.1,2093.3,144680.0
117,129710.0,7021.9,6582.8,2107.7,145420.0
118,128180.0,6906.4,6525.0,2087.5,143700.0
119,128090.0,6876.9,6495.3,2071.2,143530.0
120,128990.0,6975.3,6622.1,2102.6,144690.0
121,128330.0,6913.3,6537.6,2099.2,143880.0
122,127350.0,6892.4,6558.8,2096.1,142900.0
123,127300.0,6859.1,6533.9,2089.5,142780.0
124,127970.0,6840.0,6497.7,2077.8,143390.0
125,125990.0,6802.1,6468.2,2064.2,141320.0
126,126620.0,6812.3,6468.9,2079.9,141980.0
127,127060.0,6829.2,6475.5,2066.8,142440.0
128,126530.0,6815.0,6475.3,2078.4,141890.0
129,126270.0,6807.2,6474.5,2080.8,141640.0
130,125850.0,6711.1,6421.2,2048.7,141030.0
131,125420.0,6755.1,6447.8,2069.4,140690.0
132,125510.0,6708.2,6421.4,2064.8,140700.0
133,123920.0,6709.1,6446.6,2070.0,139150.0
134,126180.0,6747.2,6478.1,2076.2,141480.0
135,124290.0,6700.8,6435.0,2073.3,139500.0
136,124500.0,6637.4,6414.9,2051.3,139610.0
137,124310.0,6689.9,6446.2,2065.9,139510.0
138,123320.0,6624.5,6356.4,2050.9,138350.0
139,121480.0,6555.3,6311.2,2045.9,136390.0
140,123890.0,6634.4,6456.4,2055.7,139040.0
141,122180.0,6574.3,6373.4,2050.1,137180.0
142,123750.0,6624.4,6413.4,2062.7,138850.0
143,123390.0,6620.6,6455.3,2060.8,138530.0
144,121910.0,6551.5,6368.4,2059.2,136890.0
145,122100.0,6575.7,6402.4,2064.7,137140.0
146,121510.0,6516.2,6339.8,2051.6,136420.0
147,123610.0,6548.6,6408.5,2054.9,138630.0
148,121110.0,6520.5,6321.3,2042.4,136000.0
149,121930.0,6532.6,6386.1,2054.2,136910.0
150,121640.0,6528.8,6385.9,2055.0,136610.0
151,120390.0,6458.2,6347.9,2036.9,135240.0
152,120510.0,6470.4,6327.9,2054.0,135360.0
153,120360.0,6450.5,6352.2,2034.5,135200.0
154,120180.0,6440.1,6343.5,2037.7,135010.0
155,119700.0,6407.8,6286.2,2034.5,134420.0
156,120690.0,6448.1,6355.0,2051.2,135540.0
157,119640.0,6409.6,6331.3,2040.7,134420.0
158,119370.0,6383.4,6318.8,2018.6,134090.0
